Magnitude,Depth,destruction,Victim's reaction,Intensity
6.9,93.0,4,5,6
7.0,73.0,5,6,7
6.9,205.681,3,4,5
5.7,10.0,5,6,7
5.5,10.0,6,7,8
6.4,20.0,3,4,5
6.5,43.0,4,5,6
5.2,22.0,4,5,6
7.3,14.27,3,4,5
7.2,22.0,5,6,7
6.1,6.0,3,4,5
4.9,14.0,3,4,5
6.6,10.0,2,3,4
4.6,19.0,6,7,8
5.6,32.0,4,5,6
7.6,20.0,7,8,9
8.2,60.0,7,8,9
5.2,41.0,4,5,6
8.0,25.0,7,8,9
5.0,7.0,5,6,7
7.5,7.0,5,6,7
5.6,10.0,5,6,7
6.7,64.0,3,4,5
7.1,10.0,5,6,7
6.4,17.0,6,7,8
6.8,122.9,4,5,6
6.6,20.0,4,5,6
7.4,33.0,7,8,9
7.5,10.0,2,3,4
7.2,24.0,5,6,7
6.8,46.0,5,6,7
6.5,33.0,6,7,8
6.8,12.0,4,5,6
6.7,33.0,4,5,6
8.7,33.0,7,8,9
6.8,40.2,5,6,7
8.2,25.0,4,5,6
6.2,6.0,4,5,6
7.4,26.0,7,8,9
7.8,40.5,6,7,8
7.7,17.0,6,7,8
6.6,33.0,4,5,6
4.8,5.0,2,3,4
6.5,33.93,4,5,6
7.0,13.0,7,8,9
6.6,10.0,8,9,10
7.8,27.0,7,8,9
5.8,11.0,3,4,5
5.8,33.0,5,6,7
6.7,152.0,3,4,5
6.0,10.0,6,7,8
6.7,573.0,1,2,3
5.6,4.0,1,2,3
7.1,18.0,4,5,6
8.5,30.0,8,9,10
6.9,21.0,5,6,7
6.5,5.0,5,6,7
6.7,33.0,3,4,5
6.6,11.0,7,8,9
6.3,31.0,2,3,4
7.6,55.0,5,6,7
7.8,17.925,7,8,9
6.5,192.955,2,3,4
6.4,15.0,8,9,10
6.6,33.0,4,5,6
8.0,30.0,9,10,11
5.8,33.0,5,6,7
7.8,28.0,6,7,8
7.8,15.11,7,8,9
7.9,60.0,5,6,7
7.8,15.0,3,4,5
7.1,33.0,7,8,9
7.0,10.0,7,8,9
6.7,27.4,4,5,6
6.7,16.0,5,6,7
7.5,112.0,6,7,8
5.8,25.0,6,7,8
6.5,20.0,4,5,6
8.2,30.0,6,7,8
7.5,20.0,8,9,10
5.6,33.0,8,9,10
7.4,30.0,7,8,9
5.1,22.0,6,7,8
6.5,6.43,3,4,5
6.7,25.0,4,5,6
6.7,17.4,4,5,6
7.0,20.0,6,7,8
7.3,35.0,5,6,7
6.6,12.0,2,3,4
8.1,24.0,6,7,8
6.6,10.0,4,5,6
7.3,150.0,8,9,10
7.3,25.0,5,6,7
5.8,5.0,6,7,8
6.6,614.0,1,2,3
5.6,10.0,6,7,8
7.1,45.0,4,5,6
7.3,23.0,8,9,10
5.4,10.0,5,6,7
5.5,1.0,4,5,6
5.4,15.0,4,5,6
7.6,240.0,5,6,7
6.9,29.0,5,6,7
8.2,25.0,6,7,8
6.5,31.0,5,6,7
5.8,10.0,7,8,9
5.4,10.0,3,4,5
5.4,13.0,4,5,6
5.9,33.0,8,9,10
7.2,240.0,5,6,7
5.2,10.0,5,6,7
5.5,10.0,6,7,8
5.1,21.0,4,5,6
5.6,26.0,6,7,8
6.5,9.0,3,4,5
7.7,50.0,5,6,7
7.2,38.0,4,5,6
6.5,11.0,7,8,9
7.2,35.0,3,4,5
7.3,60.0,7,8,9
7.9,42.6,5,6,7
6.6,33.0,4,5,6
6.5,90.0,5,6,7
7.5,33.0,5,6,7
8.7,30.3,4,5,6
7.1,58.0,5,6,7
7.2,22.0,5,6,7
6.7,9.0,2,3,4
7.0,267.0,2,3,4
6.2,11.0,7,8,9
6.7,550.0,1,2,3
6.9,5.81,6,7,8
7.3,146.82,4,5,6
6.6,165.0,2,3,4
6.6,39.0,5,6,7
7.0,123.1,4,5,6
6.6,14.0,4,5,6
6.8,33.0,4,5,6
6.5,10.0,6,7,8
6.5,35.0,4,5,6
7.4,20.0,6,7,8
7.2,236.0,3,4,5
6.1,8.0,6,7,8
6.6,57.0,6,7,8
5.5,20.0,5,6,7
6.6,18.0,4,5,6
8.7,36.0,4,5,6
8.2,35.0,5,6,7
6.1,15.0,5,6,7
6.2,5.0,4,5,6
6.5,10.0,4,5,6
7.9,42.6,5,6,7
6.5,33.0,4,5,6
6.8,35.0,5,6,7
6.7,44.0,8,9,10
6.8,16.441,3,4,5
4.6,10.0,5,6,7
6.0,27.0,5,6,7
5.8,11.0,5,6,7
6.6,53.0,3,4,5
7.4,55.0,5,6,7
5.7,5.0,6,7,8
7.4,36.0,4,5,6
7.7,10.0,6,7,8
6.6,15.0,6,7,8
7.3,41.0,6,7,8
6.6,49.5,5,6,7
7.0,115.0,5,6,7
7.0,12.0,7,8,9
6.4,15.0,8,9,10
6.5,10.0,6,7,8
6.6,25.7,3,4,5
6.5,68.0,4,5,6
5.7,5.0,7,8,9
6.9,30.0,5,6,7
6.5,27.0,5,6,7
6.5,15.0,4,5,6
7.6,578.0,1,2,3
6.2,21.0,6,7,8
8.1,30.0,8,9,10
6.6,10.0,7,8,9
7.6,45.0,6,7,8
5.5,10.0,6,7,8
6.9,47.5,4,5,6
6.9,28.0,7,8,9
7.1,10.0,5,6,7
6.8,476.0,1,2,3
7.6,25.0,8,9,10
6.6,18.0,5,6,7
6.9,33.0,3,4,5
6.2,155.0,4,5,6
6.6,118.0,4,5,6
8.2,24.0,7,8,9
7.6,17.0,7,8,9
7.2,183.4,4,5,6
6.6,10.0,2,3,4
7.0,68.0,5,6,7
5.7,20.0,6,7,8
6.6,10.0,5,6,7
5.3,11.0,5,6,7
7.3,212.0,4,5,6
7.1,15.0,6,7,8
6.5,105.0,3,4,5
6.8,12.0,3,4,5
7.6,45.0,6,7,8
6.5,8.0,2,3,4
7.8,10.0,7,8,9
6.2,19.0,5,6,7
7.6,28.37,5,6,7
6.8,26.0,5,6,7
5.2,21.0,6,7,8
6.5,13.0,6,7,8
6.9,13.0,5,6,7
6.8,27.0,8,9,10
6.7,24.0,4,5,6
6.5,56.0,4,5,6
7.5,15.0,0,1,2
5.1,10.0,7,8,9
7.6,90.0,5,6,7
8.3,22.4,7,8,9
6.7,63.0,6,7,8
6.8,13.7,4,5,6
7.9,10.0,7,8,9
7.7,10.0,5,6,7
6.6,15.0,7,8,9
6.9,26.0,4,5,6
5.4,35.0,5,6,7
6.5,6.43,3,4,5
7.4,26.0,7,8,9
8.2,60.0,9,10,11
7.7,10.0,5,6,7
6.0,15.0,7,8,9
7.2,16.0,8,9,10
7.9,109.0,6,7,8
7.3,8.0,6,7,8
6.8,20.0,4,5,6
6.5,32.0,3,4,5
8.1,33.0,9,10,11
5.6,27.0,6,7,8
7.2,10.0,6,7,8
6.0,15.0,5,6,7
6.7,164.4,3,4,5
6.6,10.0,2,3,4
6.7,11.0,5,6,7
6.7,206.3,2,3,4
8.0,45.6,6,7,8
6.8,12.0,5,6,7
6.5,10.0,6,7,8
6.8,33.0,5,6,7
6.4,19.0,6,7,8
8.1,34.0,7,8,9
7.6,15.0,8,9,10
6.6,18.0,5,6,7
6.1,47.0,4,5,6
6.7,24.0,4,5,6
7.9,30.0,7,8,9
6.7,15.0,5,6,7
6.9,10.0,5,6,7
6.9,50.0,6,7,8
6.8,10.0,5,6,7
6.7,24.0,5,6,7
7.9,10.0,4,5,6
8.2,60.0,9,10,11
8.0,25.0,7,8,9
7.6,30.0,8,9,10
6.8,60.0,9,10,11
6.4,21.0,3,4,5
6.5,8.2,5,6,7
6.7,18.0,3,4,5
6.5,41.0,4,5,6
5.8,37.0,5,6,7
7.1,42.0,6,7,8
6.6,10.0,5,6,7
6.9,6.0,7,8,9
7.9,670.81,2,3,4
6.7,11.0,5,6,7
6.7,553.81,1,2,3
5.9,16.0,6,7,8
6.7,32.0,4,5,6
6.9,10.0,3,4,5
7.5,19.0,6,7,8
6.9,130.0,4,5,6
7.2,31.0,4,5,6
6.5,576.0,0,1,1
6.6,25.0,6,7,8
6.9,10.0,1,2,3
6.6,25.0,4,5,6
6.6,25.0,4,5,6
7.6,10.0,4,5,6
4.9,11.0,5,6,7
6.0,9.0,4,5,6
7.3,37.0,5,6,7
7.0,10.0,7,8,9
6.5,8.0,2,3,4
6.4,15.0,7,8,9
7.7,80.0,6,7,8
7.2,42.6,4,5,6
6.5,10.0,3,4,5
7.3,28.0,3,4,5
6.1,34.0,5,6,7
6.4,15.0,8,9,10
7.7,20.0,7,8,9
7.6,105.249,5,6,7
6.0,6.0,5,6,7
7.3,11.0,4,5,6
6.7,22.91,5,6,7
